"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,3.68457e-05,0.000395221,7.13593e-05,5.85512e-06,1
2,3.47096e-05,0.000390066,7.23591e-05,5.82317e-06,1
3,3.21761e-05,0.000384897,7.33534e-05,5.7835e-06,1
4,2.9833e-05,0.000379683,7.43409e-05,5.73631e-06,1
5,2.76652e-05,0.000374433,7.53201e-05,5.68275e-06,1
6,2.56595e-05,0.000369155,7.62901e-05,5.62383e-06,1
7,2.38036e-05,0.000363859,7.72498e-05,5.56043e-06,1
8,2.20863e-05,0.000358551,7.81986e-05,5.49331e-06,1
9,2.04971e-05,0.000353238,7.91357e-05,5.42313e-06,1
10,1.90262e-05,0.000347928,8.00607e-05,5.35048e-06,1
11,1.76648e-05,0.000342627,8.09731e-05,5.27586e-06,1
12,1.64057e-05,0.000337339,8.18726e-05,5.19971e-06,1
13,1.52401e-05,0.000332072,8.27589e-05,5.1224e-06,1
14,1.41609e-05,0.000326829,8.36319e-05,5.04427e-06,1
15,1.31616e-05,0.000321614,8.44913e-05,4.9656e-06,1
16,1.22361e-05,0.000316434,8.53372e-05,4.88664e-06,1
17,1.13787e-05,0.00031129,8.61694e-05,4.8076e-06,1
18,1.05931e-05,0.000306186,8.6988e-05,4.72866e-06,1
19,9.86486e-06,0.000301126,8.7793e-05,4.65e-06,1
20,9.18965e-06,0.000296113,8.85844e-05,4.57175e-06,1
21,8.56356e-06,0.000291149,8.93623e-05,4.49403e-06,1
22,7.98291e-06,0.000286237,9.01269e-05,4.41693e-06,1
23,7.44433e-06,0.000281378,9.08781e-05,4.34054e-06,1
24,6.9447e-06,0.000276573,9.16163e-05,4.26492e-06,1
25,6.48111e-06,0.000271825,9.23414e-05,4.19013e-06,1
26,6.0509e-06,0.000267135,9.30536e-05,4.11623e-06,1
27,5.65158e-06,0.000262504,9.37531e-05,4.04325e-06,1
28,5.28088e-06,0.000257932,9.44401e-05,3.97122e-06,1
29,4.93667e-06,0.000253421,9.51147e-05,3.90018e-06,1
30,4.61699e-06,0.000248972,9.57771e-05,3.83014e-06,1
31,4.32004e-06,0.000244584,9.64275e-05,3.76112e-06,1
32,4.04414e-06,0.000240258,9.70661e-05,3.69313e-06,1
33,3.78773e-06,0.000235995,9.7693e-05,3.62618e-06,1
34,3.54938e-06,0.000231794,9.83084e-05,3.56027e-06,1
35,3.32777e-06,0.000227656,9.89125e-05,3.49541e-06,1
36,3.12166e-06,0.00022358,9.95055e-05,3.4316e-06,1
37,2.92993e-06,0.000219567,0.000100088,3.36882e-06,1
38,2.75151e-06,0.000215616,0.000100659,3.30709e-06,1
39,2.58543e-06,0.000211727,0.00010122,3.24639e-06,1
40,2.4308e-06,0.0002079,0.00010177,3.18671e-06,1
41,2.28678e-06,0.000204135,0.00010231,3.12805e-06,1
42,2.1526e-06,0.00020043,0.00010284,3.0704e-06,1
43,2.02754e-06,0.000196786,0.000103361,3.01375e-06,1
44,1.91087e-06,0.000193202,0.000103871,2.95808e-06,1
45,1.80467e-06,0.000189678,0.000104372,2.90339e-06,1
46,1.70541e-06,0.000186212,0.000104864,2.84966e-06,1
47,1.61261e-06,0.000182806,0.000105347,2.79689e-06,1
48,1.52579e-06,0.000179457,0.00010582,2.74505e-06,1
49,1.44456e-06,0.000176165,0.000106285,2.69415e-06,1
50,1.36816e-06,0.00017293,0.000106741,2.64415e-06,1
51,1.30777e-06,0.00016975,0.000107188,2.59506e-06,1
52,1.2505e-06,0.000166626,0.000107628,2.54686e-06,1
53,1.19616e-06,0.000163558,0.000108059,2.49956e-06,1
54,1.1446e-06,0.000160543,0.000108481,2.45312e-06,1
55,1.09564e-06,0.000157582,0.000108896,2.40754e-06,1
56,1.04914e-06,0.000154674,0.000109304,2.36279e-06,1
57,1.00497e-06,0.000151817,0.000109703,2.31887e-06,1
58,9.62982e-07,0.000149011,0.000110095,2.27575e-06,1
59,9.23063e-07,0.000146255,0.00011048,2.23342e-06,1
60,8.85095e-07,0.000143549,0.000110858,2.19187e-06,1
61,8.4897e-07,0.000140891,0.000111228,2.15109e-06,1
62,8.14587e-07,0.000138281,0.000111592,2.11105e-06,1
63,7.8185e-07,0.000135718,0.000111949,2.07175e-06,1
64,7.50668e-07,0.000133201,0.000112299,2.03317e-06,1
65,7.20958e-07,0.00013073,0.000112642,1.99529e-06,1
66,6.92641e-07,0.000128304,0.000112979,1.95812e-06,1
67,6.65641e-07,0.000125921,0.00011331,1.92163e-06,1
68,6.39889e-07,0.000123581,0.000113635,1.88581e-06,1
69,6.15319e-07,0.000121285,0.000113953,1.85065e-06,1
70,5.91867e-07,0.000119029,0.000114266,1.81613e-06,1
71,5.69477e-07,0.000116815,0.000114572,1.78226e-06,1
72,5.47441e-07,0.000114642,0.000114873,1.749e-06,1
73,5.48587e-07,0.000112508,0.000115168,1.71636e-06,1
74,5.48083e-07,0.000110414,0.000115458,1.68436e-06,1
