"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,3.71561e-05,0.00110011,0.0015108,1.56737e-05,0
238,3.57867e-05,0.00108681,0.00151355,1.54187e-05,0
239,3.44726e-05,0.0010736,0.00151625,1.51684e-05,0
240,3.32144e-05,0.00106046,0.00151891,1.49228e-05,0
241,3.201e-05,0.00104742,0.00152152,1.46816e-05,0
242,3.08587e-05,0.00103446,0.00152409,1.44449e-05,0
243,2.97603e-05,0.0010216,0.00152661,1.42127e-05,0
244,2.87146e-05,0.00100883,0.0015291,1.39847e-05,0
245,3.4453e-05,0.000996158,0.00153154,1.37611e-05,0
246,4.14824e-05,0.000983701,0.00153394,1.35877e-05,0
247,4.97066e-05,0.000971525,0.00153631,1.34677e-05,0
248,5.95193e-05,0.000959694,0.00153866,1.34033e-05,0
249,7.12318e-05,0.000948283,0.001541,1.33991e-05,0
250,8.51862e-05,0.000937371,0.00154333,1.34616e-05,0
251,0.00010184,0.000927051,0.00154568,1.35987e-05,0
252,0.000121717,0.000917426,0.00154805,1.38208e-05,0
253,0.000145444,0.000908617,0.00155046,1.41408e-05,0
254,0.00017377,0.000900765,0.00155293,1.45743e-05,0
255,0.000207586,0.000894035,0.00155548,1.51405e-05,0
256,0.000247961,0.000888622,0.00155813,1.58625e-05,0
257,0.000296169,0.000884756,0.00156092,1.67682e-05,0
258,0.000353734,0.000882713,0.00156387,1.78912e-05,0
259,0.000422157,0.000882817,0.00156703,1.92718e-05,0
260,0.000503272,0.000885452,0.00157044,2.09561e-05,0
261,0.000599626,0.000891067,0.00157417,2.29974e-05,0
262,0.000714305,0.000900196,0.00157828,2.54609e-05,0
263,0.000850783,0.000913475,0.00158286,2.8425e-05,0
264,0.00101319,0.00093166,0.00158802,3.19834e-05,0
265,0.00120642,0.00095565,0.00159388,3.6247e-05,0
266,0.00115844,0.000986514,0.00160059,4.13473e-05,0
267,0.0011125,0.00102084,0.00160834,4.55429e-05,0
268,0.00106838,0.00105766,0.00161698,4.89592e-05,0
269,0.00102603,0.00109617,0.00162634,5.17047e-05,0
270,0.000985369,0.00113567,0.00163629,5.38739e-05,0
271,0.000946335,0.0011756,0.00164671,5.55491e-05,0
272,0.000908866,0.00121546,0.0016575,5.68019e-05,0
273,0.000872905,0.00125488,0.00166857,5.76942e-05,0
274,0.000838313,0.00129352,0.00167984,5.82797e-05,0
275,0.000805088,0.00133113,0.00169123,5.86042e-05,0
276,0.000773176,0.00136749,0.0017027,5.87078e-05,0
277,0.000742526,0.00140243,0.00171419,5.86249e-05,0
278,0.000713088,0.00143584,0.00172567,5.83851e-05,0
279,0.000684811,0.00146761,0.00173709,5.80143e-05,0
280,0.000657653,0.00149768,0.00174843,5.75342e-05,0
281,0.000631571,0.00152601,0.00175966,5.69638e-05,0
282,0.000606521,0.00155256,0.00177076,5.63194e-05,0
283,0.000582465,0.00157733,0.00178172,5.56148e-05,0
284,0.000559363,0.00160032,0.00179253,5.48621e-05,0
285,0.00053718,0.00162156,0.00180317,5.40713e-05,0
286,0.000515878,0.00164106,0.00181364,5.32512e-05,0
287,0.000495426,0.00165885,0.00182392,5.24093e-05,0
288,0.000475789,0.00167498,0.00183403,5.15518e-05,0
289,0.000456938,0.00168949,0.00184395,5.06842e-05,0
290,0.000438812,0.00170242,0.00185367,4.9811e-05,0
291,0.000421401,0.00171383,0.00186322,4.89358e-05,0
292,0.000404679,0.00172376,0.00187257,4.80619e-05,0
293,0.000388617,0.00173227,0.00188174,4.71919e-05,0
294,0.00037319,0.00173941,0.00189072,4.63281e-05,0
295,0.000358373,0.00174523,0.00189952,4.54723e-05,0
296,0.000344143,0.00174979,0.00190813,4.46261e-05,0
297,0.000330475,0.00175314,0.00191657,4.37907e-05,0
298,0.000317348,0.00175534,0.00192484,4.29671e-05,0
299,0.000304741,0.00175643,0.00193293,4.21561e-05,0
300,0.000292634,0.00175647,0.00194085,4.13583e-05,0
301,0.000281006,0.0017555,0.00194861,4.05742e-05,0
302,0.000269838,0.00175359,0.0019562,3.98042e-05,0
303,0.000259113,0.00175076,0.00196364,3.90485e-05,0
304,0.000248814,0.00174708,0.00197092,3.83072e-05,0
305,0.000238923,0.00174258,0.00197805,3.75804e-05,0
306,0.000229424,0.0017373,0.00198503,3.68681e-05,0
307,0.000220303,0.0017313,0.00199187,3.61703e-05,0
308,0.000211544,0.00172461,0.00199856,3.54868e-05,0
309,0.000203139,0.00171726,0.00200512,3.48176e-05,0
310,0.000195071,0.00170931,0.00201154,3.41624e-05,0
311,0.000187325,0.00170077,0.00201783,3.35212e-05,0
312,0.000179893,0.00169169,0.002024,3.28936e-05,0
313,0.000172763,0.00168211,0.00203003,3.22796e-05,0
314,0.000165923,0.00167205,0.00203595,3.16789e-05,0
315,0.000159364,0.00166154,0.00204175,3.10913e-05,0
316,0.000153076,0.00165062,0.00204743,3.05165e-05,0
317,0.000147051,0.00163931,0.00205299,2.99544e-05,0
318,0.000141281,0.00162764,0.00205845,2.94047e-05,0
319,0.00013576,0.00161564,0.0020638,2.88672e-05,0
320,0.000130482,0.00160333,0.00206904,2.83417e-05,0
321,0.000125447,0.00159074,0.00207418,2.7828e-05,0
322,0.000120628,0.00157789,0.00207923,2.73261e-05,0
323,0.000115943,0.0015648,0.00208417,2.68356e-05,0
324,0.000111446,0.00155149,0.00208902,2.63558e-05,0
325,0.000107129,0.00153798,0.00209377,2.58864e-05,0
326,0.000102988,0.0015243,0.00209844,2.54271e-05,0
327,9.90153e-05,0.00151046,0.00210302,2.49777e-05,0
328,9.5209e-05,0.00149647,0.00210751,2.4538e-05,0
329,9.15627e-05,0.00148235,0.00211192,2.41078e-05,0
330,8.80721e-05,0.00146813,0.00211624,2.36867e-05,0
331,8.47336e-05,0.0014538,0.00212049,2.32747e-05,0
332,8.15442e-05,0.00143939,0.00212465,2.28716e-05,0
333,7.85016e-05,0.00142492,0.00212874,2.24772e-05,0
334,7.56045e-05,0.00141038,0.00213276,2.20914e-05,0
335,7.27933e-05,0.00139581,0.0021367,2.17141e-05,0
336,7.01034e-05,0.0013812,0.00214057,2.13447e-05,0
337,6.7494e-05,0.00136657,0.00214437,2.09832e-05,0
338,6.49866e-05,0.00135192,0.0021481,2.0629e-05,0
339,6.25777e-05,0.00133728,0.00215177,2.02821e-05,0
340,6.02643e-05,0.00132264,0.00215537,1.99421e-05,0
341,5.80436e-05,0.00130802,0.00215891,1.9609e-05,0
342,5.59129e-05,0.00129341,0.00216239,1.92825e-05,0
