"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,6.98446e-09,1.47909e-05,0.000123741,1.76604e-07,1
238,6.74241e-09,1.45697e-05,0.00012377,1.73953e-07,1
239,6.50871e-09,1.43519e-05,0.0001238,1.71343e-07,1
240,6.28308e-09,1.41372e-05,0.000123828,1.68771e-07,1
241,6.06524e-09,1.39258e-05,0.000123857,1.66239e-07,1
242,5.85493e-09,1.37175e-05,0.000123885,1.63744e-07,1
243,5.65188e-09,1.35123e-05,0.000123912,1.61287e-07,1
244,5.45585e-09,1.33102e-05,0.000123939,1.58867e-07,1
245,5.26659e-09,1.31111e-05,0.000123966,1.56483e-07,1
246,5.08388e-09,1.29149e-05,0.000123992,1.54135e-07,1
247,4.90748e-09,1.27217e-05,0.000124018,1.51822e-07,1
248,4.73719e-09,1.25314e-05,0.000124044,1.49544e-07,1
249,4.57278e-09,1.23439e-05,0.000124069,1.473e-07,1
250,4.41407e-09,1.21592e-05,0.000124094,1.4509e-07,1
251,4.26084e-09,1.19773e-05,0.000124118,1.42913e-07,1
252,4.11292e-09,1.1798e-05,0.000124142,1.40768e-07,1
253,3.97011e-09,1.16215e-05,0.000124166,1.38656e-07,1
254,3.83226e-09,1.14476e-05,0.000124189,1.36576e-07,1
255,3.69917e-09,1.12763e-05,0.000124212,1.34527e-07,1
256,3.57069e-09,1.11075e-05,0.000124235,1.32508e-07,1
257,3.44667e-09,1.09412e-05,0.000124257,1.3052e-07,1
258,3.32694e-09,1.07775e-05,0.000124279,1.28562e-07,1
259,3.21136e-09,1.06162e-05,0.0001243,1.26633e-07,1
260,3.09978e-09,1.04573e-05,0.000124322,1.24733e-07,1
261,2.99207e-09,1.03007e-05,0.000124343,1.22862e-07,1
262,2.8881e-09,1.01465e-05,0.000124363,1.21019e-07,1
263,2.78773e-09,9.99464e-06,0.000124384,1.19203e-07,1
264,2.69084e-09,9.84502e-06,0.000124404,1.17415e-07,1
265,2.59731e-09,9.69763e-06,0.000124423,1.15654e-07,1
266,2.50702e-09,9.55244e-06,0.000124443,1.13919e-07,1
267,2.41987e-09,9.40942e-06,0.000124462,1.1221e-07,1
268,2.33574e-09,9.26854e-06,0.000124481,1.10526e-07,1
269,2.25452e-09,9.12977e-06,0.000124499,1.08868e-07,1
270,2.17613e-09,8.99307e-06,0.000124518,1.07235e-07,1
271,2.10046e-09,8.85841e-06,0.000124536,1.05626e-07,1
272,2.02741e-09,8.72576e-06,0.000124553,1.04042e-07,1
273,1.9569e-09,8.5951e-06,0.000124571,1.02481e-07,1
274,1.88884e-09,8.46639e-06,0.000124588,1.00944e-07,1
275,1.82314e-09,8.33961e-06,0.000124605,9.94298e-08,1
276,1.75972e-09,8.21472e-06,0.000124622,9.79383e-08,1
277,1.6985e-09,8.09169e-06,0.000124638,9.64692e-08,1
278,1.63941e-09,7.97051e-06,0.000124654,9.50221e-08,1
279,1.58237e-09,7.85114e-06,0.00012467,9.35968e-08,1
280,1.52732e-09,7.73355e-06,0.000124686,9.21928e-08,1
281,1.47417e-09,7.61772e-06,0.000124702,9.081e-08,1
282,1.42288e-09,7.50363e-06,0.000124717,8.94478e-08,1
283,1.37336e-09,7.39124e-06,0.000124732,8.81062e-08,1
284,1.32557e-09,7.28053e-06,0.000124747,8.67846e-08,1
285,1.27944e-09,7.17148e-06,0.000124761,8.54829e-08,1
286,1.23491e-09,7.06406e-06,0.000124776,8.42007e-08,1
287,1.19192e-09,6.95824e-06,0.00012479,8.29378e-08,1
288,1.15044e-09,6.85401e-06,0.000124804,8.16938e-08,1
289,1.11039e-09,6.75134e-06,0.000124817,8.04685e-08,1
290,1.07174e-09,6.6502e-06,0.000124831,7.92615e-08,1
291,1.03443e-09,6.55058e-06,0.000124844,7.80727e-08,1
292,9.98417e-10,6.45245e-06,0.000124857,7.69017e-08,1
293,9.63657e-10,6.35578e-06,0.00012487,7.57483e-08,1
294,9.30107e-10,6.26057e-06,0.000124883,7.46122e-08,1
295,8.97723e-10,6.16677e-06,0.000124896,7.34931e-08,1
296,8.66466e-10,6.07438e-06,0.000124908,7.23909e-08,1
297,8.36296e-10,5.98338e-06,0.00012492,7.13051e-08,1
298,8.07175e-10,5.89373e-06,0.000124932,7.02357e-08,1
299,7.79068e-10,5.80543e-06,0.000124944,6.91823e-08,1
300,7.51938e-10,5.71845e-06,0.000124956,6.81447e-08,1
301,7.25753e-10,5.63277e-06,0.000124967,6.71226e-08,1
302,7.00478e-10,5.54837e-06,0.000124978,6.6116e-08,1
303,6.76083e-10,5.46524e-06,0.000124989,6.51244e-08,1
304,6.52537e-10,5.38335e-06,0.000125,6.41476e-08,1
305,6.29811e-10,5.30269e-06,0.000125011,6.31856e-08,1
306,6.07875e-10,5.22323e-06,0.000125022,6.2238e-08,1
307,5.86703e-10,5.14497e-06,0.000125032,6.13045e-08,1
308,5.66268e-10,5.06787e-06,0.000125042,6.03851e-08,1
309,5.46544e-10,4.99193e-06,0.000125053,5.94795e-08,1
310,5.27506e-10,4.91713e-06,0.000125063,5.85875e-08,1
311,5.09131e-10,4.84344e-06,0.000125072,5.77088e-08,1
312,4.91396e-10,4.77086e-06,0.000125082,5.68434e-08,1
313,4.74279e-10,4.69937e-06,0.000125092,5.59909e-08,1
314,4.57757e-10,4.62895e-06,0.000125101,5.51512e-08,1
315,4.41811e-10,4.55958e-06,0.00012511,5.43241e-08,1
316,4.2642e-10,4.49125e-06,0.00012512,5.35094e-08,1
317,4.11564e-10,4.42394e-06,0.000125129,5.27069e-08,1
318,3.97226e-10,4.35765e-06,0.000125137,5.19165e-08,1
319,3.83388e-10,4.29234e-06,0.000125146,5.11379e-08,1
320,3.70031e-10,4.22801e-06,0.000125155,5.0371e-08,1
321,3.57139e-10,4.16465e-06,0.000125163,4.96156e-08,1
322,3.44697e-10,4.10223e-06,0.000125171,4.88715e-08,1
323,3.32687e-10,4.04075e-06,0.00012518,4.81386e-08,1
324,3.21096e-10,3.9802e-06,0.000125188,4.74167e-08,1
325,3.09909e-10,3.92054e-06,0.000125196,4.67057e-08,1
326,2.99111e-10,3.86178e-06,0.000125204,4.60052e-08,1
327,2.88689e-10,3.80391e-06,0.000125211,4.53153e-08,1
328,2.78631e-10,3.74689e-06,0.000125219,4.46358e-08,1
329,2.68922e-10,3.69074e-06,0.000125226,4.39664e-08,1
330,2.59552e-10,3.63542e-06,0.000125234,4.33071e-08,1
331,2.50509e-10,3.58093e-06,0.000125241,4.26576e-08,1
332,2.4178e-10,3.52726e-06,0.000125248,4.20179e-08,1
333,2.33355e-10,3.47439e-06,0.000125255,4.13878e-08,1
334,2.25224e-10,3.42232e-06,0.000125262,4.07672e-08,1
335,2.17377e-10,3.37102e-06,0.000125269,4.01558e-08,1
336,2.09802e-10,3.32049e-06,0.000125276,3.95536e-08,1
337,2.02492e-10,3.27072e-06,0.000125283,3.89605e-08,1
338,1.95436e-10,3.2217e-06,0.000125289,3.83763e-08,1
339,1.88626e-10,3.17341e-06,0.000125296,3.78008e-08,1
340,1.82053e-10,3.12584e-06,0.000125302,3.72339e-08,1
341,1.75709e-10,3.07899e-06,0.000125308,3.66756e-08,1
342,1.69587e-10,3.03284e-06,0.000125314,3.61256e-08,1
343,1.63677e-10,2.98738e-06,0.00012532,3.55839e-08,1
344,1.57974e-10,2.9426e-06,0.000125326,3.50503e-08,1
345,1.52469e-10,2.89849e-06,0.000125332,3.45247e-08,1
346,1.47156e-10,2.85504e-06,0.000125338,3.40069e-08,1
347,1.42028e-10,2.81225e-06,0.000125344,3.3497e-08,1
348,1.37079e-10,2.77009e-06,0.000125349,3.29947e-08,1
349,1.32303e-10,2.72857e-06,0.000125355,3.24999e-08,1
350,1.27692e-10,2.68767e-06,0.00012536,3.20126e-08,1
351,1.23243e-10,2.64738e-06,0.000125366,3.15325e-08,1
352,1.18948e-10,2.60769e-06,0.000125371,3.10597e-08,1
353,1.14803e-10,2.5686e-06,0.000125376,3.05939e-08,1
354,1.10803e-10,2.5301e-06,0.000125381,3.01351e-08,1
355,1.06942e-10,2.49217e-06,0.000125386,2.96833e-08,1
356,1.03215e-10,2.45481e-06,0.000125391,2.92381e-08,1
357,9.96189e-11,2.41801e-06,0.000125396,2.87997e-08,1
358,9.61476e-11,2.38177e-06,0.000125401,2.83679e-08,1
359,9.27973e-11,2.34606e-06,0.000125406,2.79425e-08,1
360,8.95637e-11,2.31089e-06,0.000125411,2.75235e-08,1
361,8.64428e-11,2.27625e-06,0.000125415,2.71107e-08,1
362,8.34307e-11,2.24213e-06,0.00012542,2.67042e-08,1
363,8.05236e-11,2.20852e-06,0.000125424,2.63038e-08,1
364,7.77178e-11,2.17541e-06,0.000125429,2.59094e-08,1
365,7.50097e-11,2.1428e-06,0.000125433,2.55208e-08,1
