"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,5.41944e-05,0.000348408,4.7401e-05,8.58019e-06,1
2,5.23571e-05,0.000348528,4.88773e-05,8.36695e-06,1
3,4.98136e-05,0.000348401,5.03161e-05,8.1664e-06,1
4,4.73896e-05,0.000348034,5.17196e-05,7.9719e-06,1
5,4.50849e-05,0.000347442,5.30889e-05,7.78328e-06,1
6,4.28937e-05,0.000346638,5.44251e-05,7.60037e-06,1
7,4.08103e-05,0.000345636,5.57293e-05,7.42302e-06,1
8,3.88294e-05,0.000344448,5.70024e-05,7.25107e-06,1
9,3.6946e-05,0.000343087,5.82455e-05,7.08436e-06,1
10,3.51553e-05,0.000341564,5.94594e-05,6.92272e-06,1
11,3.34525e-05,0.00033989,6.06451e-05,6.766e-06,1
12,3.18348e-05,0.000338076,6.18034e-05,6.61402e-06,1
13,3.02965e-05,0.000336132,6.29352e-05,6.46665e-06,1
14,2.88336e-05,0.000334066,6.40414e-05,6.32372e-06,1
15,2.74425e-05,0.000331889,6.51227e-05,6.18508e-06,1
16,2.61195e-05,0.000329608,6.61799e-05,6.05058e-06,1
17,2.48611e-05,0.000327231,6.72137e-05,5.92007e-06,1
18,2.36727e-05,0.000324767,6.82248e-05,5.7934e-06,1
19,2.25419e-05,0.000322223,6.9214e-05,5.67049e-06,1
20,2.1466e-05,0.000319605,7.01818e-05,5.5512e-06,1
21,2.04423e-05,0.000316919,7.1129e-05,5.43538e-06,1
22,1.94684e-05,0.000314174,7.20561e-05,5.32291e-06,1
23,1.85416e-05,0.000311373,7.29638e-05,5.21365e-06,1
24,1.76598e-05,0.000308522,7.38525e-05,5.10749e-06,1
25,1.68207e-05,0.000305627,7.47229e-05,5.0043e-06,1
26,1.60222e-05,0.000302693,7.55755e-05,4.90397e-06,1
27,1.52624e-05,0.000299724,7.64107e-05,4.8064e-06,1
28,1.45395e-05,0.000296724,7.72291e-05,4.71148e-06,1
29,1.38515e-05,0.000293698,7.80311e-05,4.61912e-06,1
30,1.31967e-05,0.00029065,7.88172e-05,4.52923e-06,1
31,1.25737e-05,0.000287583,7.95879e-05,4.4417e-06,1
32,1.19807e-05,0.0002845,8.03434e-05,4.35646e-06,1
33,1.14164e-05,0.000281404,8.10843e-05,4.27343e-06,1
34,1.08794e-05,0.0002783,8.18108e-05,4.19252e-06,1
35,1.03683e-05,0.000275189,8.25235e-05,4.11367e-06,1
36,9.88178e-06,0.000272074,8.32226e-05,4.03679e-06,1
37,9.41876e-06,0.000268958,8.39085e-05,3.96183e-06,1
38,8.97804e-06,0.000265843,8.45815e-05,3.88871e-06,1
39,8.55855e-06,0.000262731,8.52419e-05,3.81737e-06,1
40,8.15924e-06,0.000259625,8.58901e-05,3.74776e-06,1
41,7.77914e-06,0.000256526,8.65264e-05,3.6798e-06,1
42,7.4173e-06,0.000253436,8.7151e-05,3.61346e-06,1
43,7.07285e-06,0.000250356,8.77642e-05,3.54867e-06,1
44,6.74482e-06,0.000247289,8.83664e-05,3.48539e-06,1
45,6.43596e-06,0.000244236,8.89577e-05,3.42356e-06,1
46,6.14169e-06,0.000241197,8.95384e-05,3.36316e-06,1
47,5.86131e-06,0.000238175,9.01087e-05,3.30414e-06,1
48,5.59416e-06,0.000235171,9.0669e-05,3.24646e-06,1
49,5.3396e-06,0.000232185,9.12194e-05,3.19006e-06,1
50,5.09692e-06,0.000229219,9.17601e-05,3.13492e-06,1
51,4.86957e-06,0.000226273,9.22914e-05,3.08097e-06,1
52,4.65272e-06,0.000223349,9.28135e-05,3.02822e-06,1
53,4.44587e-06,0.000220447,9.33266e-05,2.97662e-06,1
54,4.24855e-06,0.000217568,9.38309e-05,2.92614e-06,1
55,4.06032e-06,0.000214713,9.43265e-05,2.87672e-06,1
56,3.88074e-06,0.000211882,9.48137e-05,2.82834e-06,1
57,3.70943e-06,0.000209076,9.52927e-05,2.78097e-06,1
58,3.54598e-06,0.000206295,9.57635e-05,2.73458e-06,1
59,3.39003e-06,0.000203539,9.62265e-05,2.68912e-06,1
60,3.24124e-06,0.00020081,9.66816e-05,2.64459e-06,1
61,3.09926e-06,0.000198107,9.71292e-05,2.60094e-06,1
62,2.96378e-06,0.000195431,9.75694e-05,2.55815e-06,1
63,2.8345e-06,0.000192781,9.80023e-05,2.5162e-06,1
64,2.71112e-06,0.000190159,9.8428e-05,2.47507e-06,1
65,2.59338e-06,0.000187564,9.88467e-05,2.43473e-06,1
66,2.481e-06,0.000184997,9.92585e-05,2.39516e-06,1
67,2.37374e-06,0.000182457,9.96636e-05,2.35634e-06,1
68,2.27136e-06,0.000179945,0.000100062,2.31826e-06,1
69,2.17363e-06,0.000177461,0.000100454,2.28088e-06,1
70,2.08034e-06,0.000175004,0.00010084,2.2442e-06,1
71,1.99128e-06,0.000172575,0.000101219,2.2082e-06,1
72,1.90591e-06,0.000170175,0.000101592,2.17286e-06,1
73,1.83721e-06,0.000167802,0.00010196,2.13816e-06,1
74,1.77102e-06,0.000165457,0.000102321,2.10417e-06,1
75,1.70727e-06,0.000163139,0.000102677,2.07087e-06,1
76,1.64585e-06,0.00016085,0.000103027,2.03822e-06,1
77,1.58668e-06,0.000158589,0.000103371,2.00619e-06,1
78,1.52968e-06,0.000156356,0.00010371,1.97476e-06,1
79,1.47477e-06,0.00015415,0.000104044,1.94392e-06,1
