"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000263687,0.000686962,0.00151231,1.15806e-05,0
238,0.00028238,0.000656204,0.00151432,1.10852e-05,0
239,0.000302378,0.00062906,0.00151624,1.0653e-05,0
240,0.000323774,0.000605362,0.00151808,1.02803e-05,0
241,0.000346667,0.000584964,0.00151986,9.96404e-06,0
242,0.000371165,0.000567736,0.00152158,9.70185e-06,0
243,0.000397381,0.000553564,0.00152325,9.49178e-06,0
244,0.000425435,0.000542352,0.00152489,9.33225e-06,0
245,0.000455463,0.000534019,0.0015265,9.222e-06,0
246,0.00048758,0.000528499,0.00152809,9.16006e-06,0
247,0.000521613,0.000525741,0.00152967,9.14567e-06,0
248,0.000558051,0.000525685,0.00153124,9.17783e-06,0
249,0.000597076,0.000528309,0.00153283,9.25642e-06,0
250,0.000638884,0.000533607,0.00153442,9.38155e-06,0
251,0.000683689,0.00054159,0.00153604,9.55356e-06,0
252,0.000731724,0.00055228,0.00153769,9.77308e-06,0
253,0.000783244,0.000565718,0.00153937,1.0041e-05,0
254,0.000838529,0.000581959,0.00154111,1.03584e-05,0
255,0.000897887,0.000601075,0.0015429,1.07268e-05,0
256,0.000961657,0.000623154,0.00154475,1.11479e-05,0
257,0.00103021,0.000648305,0.00154669,1.16238e-05,0
258,0.00110397,0.000676655,0.0015487,1.2157e-05,0
259,0.0011834,0.000708352,0.00155081,1.27503e-05,0
260,0.00126729,0.000743568,0.00155303,1.34068e-05,0
261,0.00135605,0.000782375,0.00155537,1.41275e-05,0
262,0.00145083,0.000824869,0.00155784,1.49139e-05,0
263,0.00155206,0.000871224,0.00156045,1.57695e-05,0
264,0.00166014,0.000921629,0.00156321,1.66977e-05,0
265,0.00177553,0.000976293,0.00156615,1.77025e-05,0
266,0.00189873,0.00103544,0.00156927,1.8788e-05,0
267,0.00203023,0.00109932,0.00157259,1.99587e-05,0
268,0.00217059,0.00116819,0.00157613,2.12194e-05,0
269,0.00232037,0.00124235,0.00157991,2.25753e-05,0
270,0.00248019,0.00132209,0.00158394,2.4032e-05,0
271,0.00265068,0.00140774,0.00158825,2.55953e-05,0
272,0.00283253,0.00149966,0.00159286,2.72716e-05,0
273,0.00302641,0.00159823,0.00159779,2.90677e-05,0
274,0.00323312,0.00170383,0.00160307,3.09906e-05,0
275,0.00296345,0.00181691,0.00160873,3.30481e-05,0
276,0.00271626,0.00190236,0.0016148,3.44299e-05,0
277,0.00248967,0.00196362,0.00162114,3.53045e-05,0
278,0.00228197,0.00200383,0.00162766,3.57841e-05,0
279,0.00209158,0.00202586,0.00163427,3.59475e-05,0
280,0.00191706,0.00203227,0.00164092,3.58534e-05,0
281,0.00175709,0.00202535,0.00164755,3.55479e-05,0
282,0.00161046,0.00200714,0.00165411,3.50682e-05,0
283,0.00147605,0.00197944,0.00166058,3.44454e-05,0
284,0.00135285,0.00194385,0.00166693,3.37058e-05,0
285,0.00123993,0.00190177,0.00167312,3.28719e-05,0
286,0.00113643,0.00185443,0.00167915,3.19635e-05,0
287,0.00104156,0.0018029,0.00168501,3.09972e-05,0
288,0.000954608,0.00174814,0.00169066,2.99878e-05,0
289,0.000874913,0.00169096,0.00169613,2.89479e-05,0
290,0.000801868,0.00163208,0.00170138,2.78883e-05,0
291,0.000734919,0.0015721,0.00170643,2.68186e-05,0
292,0.000673559,0.00151157,0.00171128,2.57466e-05,0
293,0.000617322,0.00145093,0.00171592,2.46792e-05,0
294,0.00056578,0.00139056,0.00172035,2.36222e-05,0
295,0.000518542,0.00133081,0.00172458,2.25804e-05,0
296,0.000475248,0.00127193,0.00172861,2.15579e-05,0
297,0.00043557,0.00121416,0.00173245,2.0558e-05,0
298,0.000399207,0.00115767,0.00173611,1.95833e-05,0
299,0.00036588,0.00110263,0.00173958,1.8636e-05,0
300,0.000335338,0.00104915,0.00174287,1.77177e-05,0
301,0.000307347,0.00099732,0.00174599,1.68297e-05,0
302,0.000281695,0.00094721,0.00174895,1.59727e-05,0
303,0.000258185,0.000898865,0.00175176,1.51474e-05,0
304,0.00023664,0.000852315,0.00175441,1.43539e-05,0
305,0.000216896,0.000807573,0.00175692,1.35924e-05,0
306,0.000231605,0.000764641,0.00175929,1.28626e-05,0
