"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000343633,0.00164323,0.00065375,2.68588e-05,0
2,0.000316562,0.00154799,0.000658601,2.55435e-05,0
3,0.000291519,0.00145799,0.000663199,2.41883e-05,0
4,0.000268461,0.00137287,0.000667538,2.28454e-05,0
5,0.000247231,0.00129235,0.000671622,2.15419e-05,0
6,0.000227682,0.00121619,0.000675459,2.02911e-05,0
7,0.000209684,0.00114418,0.000679062,1.90987e-05,0
8,0.000193112,0.00107612,0.000682442,1.79664e-05,0
9,0.000177853,0.0010118,0.000685612,1.68939e-05,0
10,0.000163805,0.000951068,0.000688585,1.58797e-05,0
11,0.00015087,0.000893733,0.000691371,1.49215e-05,0
12,0.000138961,0.000839631,0.000693983,1.4017e-05,0
13,0.000127997,0.000788602,0.00069643,1.31637e-05,0
14,0.000138376,0.00074049,0.000698723,1.23593e-05,0
15,0.000149593,0.000696631,0.000700871,1.16353e-05,0
16,0.000161699,0.000656787,0.00070289,1.09835e-05,0
17,0.000174811,0.000620734,0.000704792,1.03979e-05,0
18,0.00018916,0.000588272,0.000706589,9.87381e-06,0
19,0.000204756,0.000559232,0.000708294,9.408e-06,0
20,0.000221727,0.000533455,0.000709916,8.99758e-06,0
21,0.000240213,0.000510806,0.000711466,8.64019e-06,0
22,0.000260375,0.000491167,0.000712952,8.33394e-06,0
23,0.000282396,0.000474441,0.000714385,8.07733e-06,0
24,0.000306483,0.000460553,0.000715773,7.86924e-06,0
25,0.000332873,0.000449447,0.000717124,7.70895e-06,0
26,0.000361841,0.000441089,0.000718447,7.5961e-06,0
27,0.0003937,0.000435467,0.00071975,7.53075e-06,0
28,0.000428815,0.000432593,0.000721042,7.5134e-06,0
29,0.000465775,0.000432507,0.000722331,7.54501e-06,0
30,0.000503866,0.000435141,0.000723625,7.62398e-06,0
31,0.000544914,0.000440382,0.000724934,7.74784e-06,0
32,0.00058909,0.000448256,0.000726263,7.91754e-06,0
33,0.000636717,0.000458799,0.000727623,8.13408e-06,0
34,0.000688066,0.00047207,0.000729021,8.39876e-06,0
35,0.000743429,0.000488144,0.000730465,8.71313e-06,0
36,0.000803121,0.00050711,0.000731964,9.07899e-06,0
37,0.000867479,0.000529074,0.000733528,9.49839e-06,0
38,0.000936867,0.000554162,0.000735167,9.97372e-06,0
39,0.00101168,0.000582514,0.000736889,1.05076e-05,0
40,0.00109233,0.000614289,0.000738706,1.11031e-05,0
41,0.00117928,0.000649668,0.00074063,1.17636e-05,0
42,0.001273,0.000688849,0.000742671,1.24927e-05,0
43,0.00137404,0.000732053,0.000744843,1.32944e-05,0
44,0.00148293,0.000779521,0.00074716,1.41734e-05,0
45,0.00160029,0.000831521,0.000749635,1.51344e-05,0
46,0.00172666,0.000888342,0.000752286,1.61828e-05,0
47,0.00186281,0.000950295,0.000755128,1.73243e-05,0
48,0.0020095,0.00101772,0.000758179,1.85651e-05,0
49,0.0021675,0.001091,0.00076146,1.9912e-05,0
50,0.00233767,0.00117053,0.000764992,2.13724e-05,0
51,0.00252092,0.00125674,0.000768797,2.29542e-05,0
52,0.0027182,0.00135012,0.000772902,2.4666e-05,0
53,0.00293057,0.00145117,0.000777332,2.65169e-05,0
54,0.00315912,0.00156043,0.000782117,2.85168e-05,0
55,0.00340502,0.00167849,0.000787291,3.06763e-05,0
56,0.00366954,0.00180599,0.000792887,3.30067e-05,0
57,0.00337489,0.0019436,0.000798945,3.55202e-05,0
58,0.00310392,0.00205004,0.000805506,3.72627e-05,0
59,0.00285468,0.00212904,0.000812419,3.84253e-05,0
60,0.00262542,0.00218405,0.000819569,3.91346e-05,0
61,0.00241455,0.00221822,0.000826864,3.94793e-05,0
62,0.00222059,0.00223438,0.00083423,3.95255e-05,0
63,0.00204219,0.00223506,0.000841605,3.93246e-05,0
