"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000343633,0.00164323,0.00065375,2.68588e-05,1
2,0.000316562,0.00154799,0.000658601,2.55435e-05,1
3,0.000291519,0.00145799,0.000663199,2.41883e-05,1
4,0.00026846,0.00137287,0.000667538,2.28454e-05,1
5,0.000247229,0.00129235,0.000671622,2.15419e-05,1
6,0.00022768,0.00121619,0.000675459,2.02911e-05,1
7,0.00020968,0.00114418,0.000679062,1.90987e-05,1
8,0.000193107,0.00107611,0.000682442,1.79664e-05,1
9,0.000177847,0.0010118,0.000685612,1.68939e-05,1
10,0.000163796,0.000951066,0.000688585,1.58796e-05,1
11,0.00015086,0.000893731,0.000691371,1.49214e-05,1
12,0.000138949,0.000839629,0.000693983,1.40169e-05,1
13,0.000127981,0.000788599,0.00069643,1.31637e-05,1
14,0.00011686,0.000740486,0.000698723,1.23592e-05,1
15,0.000106709,0.000695067,0.000700871,1.15993e-05,1
16,9.74438e-05,0.000652215,0.000702883,1.08823e-05,1
17,8.89849e-05,0.000611809,0.000704767,1.02062e-05,1
18,8.1315e-05,0.000573728,0.000706531,9.56907e-06,1
19,7.43121e-05,0.000537861,0.000708181,8.96915e-06,1
20,6.7918e-05,0.000504095,0.000709726,8.40453e-06,1
21,6.20795e-05,0.000472322,0.000711171,7.87338e-06,1
22,5.67482e-05,0.000442438,0.000712523,7.37392e-06,1
23,5.18797e-05,0.000414341,0.000713787,6.90446e-06,1
24,4.74338e-05,0.000387935,0.00071497,6.46336e-06,1
25,4.33736e-05,0.000363129,0.000716075,6.04909e-06,1
26,3.96653e-05,0.000339833,0.000717109,5.66013e-06,1
27,3.62784e-05,0.000317964,0.000718075,5.29507e-06,1
28,3.31848e-05,0.00029744,0.000718977,4.95256e-06,1
29,3.03589e-05,0.000278186,0.000719821,4.6313e-06,1
30,2.77775e-05,0.000260129,0.000720609,4.33007e-06,1
31,2.54192e-05,0.000243199,0.000721345,4.0477e-06,1
32,2.32645e-05,0.00022733,0.000722033,3.78308e-06,1
33,2.12959e-05,0.00021246,0.000722675,3.53517e-06,1
34,1.94971e-05,0.00019853,0.000723275,3.30297e-06,1
35,1.78533e-05,0.000185484,0.000723835,3.08554e-06,1
36,1.6351e-05,0.000173268,0.000724358,2.88199e-06,1
37,1.49779e-05,0.000161833,0.000724846,2.69147e-06,1
38,1.37229e-05,0.000151131,0.000725302,2.5132e-06,1
