"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000642459,0.00290013,0.00161948,5.43879e-05,0
238,0.000601572,0.00290774,0.00163002,5.31137e-05,0
239,0.000563358,0.00291258,0.00164028,5.17356e-05,0
240,0.00052766,0.00291483,0.00165023,5.02777e-05,0
241,0.000494325,0.00291468,0.00165988,4.87608e-05,0
242,0.000463218,0.00291231,0.00166919,4.7203e-05,0
243,0.000434212,0.00290788,0.00167818,4.56198e-05,0
244,0.000407194,0.00290155,0.00168683,4.40248e-05,0
245,0.000382062,0.00289347,0.00169514,4.24295e-05,0
246,0.000358213,0.00288378,0.00170312,4.0844e-05,0
247,0.000335884,0.00287258,0.00171077,3.92741e-05,0
248,0.000314983,0.00286,0.0017181,3.77262e-05,0
249,0.00029542,0.00284613,0.00172511,3.62059e-05,0
250,0.000277114,0.00283108,0.00173181,3.47175e-05,0
251,0.00025999,0.00281495,0.00173822,3.32649e-05,0
252,0.000243978,0.00279783,0.00174433,3.18508e-05,0
253,0.000229014,0.00277981,0.00175016,3.04776e-05,0
254,0.00021504,0.00276097,0.00175572,2.91471e-05,0
255,0.000202002,0.00274138,0.00176102,2.78605e-05,0
256,0.000189853,0.00272111,0.00176607,2.66187e-05,0
257,0.000178552,0.00270024,0.00177087,2.54224e-05,0
258,0.000168063,0.00267883,0.00177545,2.42718e-05,0
259,0.000158055,0.00265694,0.00177981,2.31671e-05,0
260,0.000148653,0.00263461,0.00178395,2.21066e-05,0
261,0.000139837,0.00261189,0.0017879,2.10894e-05,0
262,0.000131572,0.00258883,0.00179165,2.01148e-05,0
263,0.000123822,0.00256546,0.00179522,1.91818e-05,0
264,0.000116558,0.00254182,0.00179862,1.82893e-05,0
265,0.00010975,0.00251797,0.00180185,1.74363e-05,0
266,0.000103343,0.00249392,0.00180492,1.66215e-05,0
267,9.73291e-05,0.0024697,0.00180785,1.58437e-05,0
268,9.16843e-05,0.00244536,0.00181063,1.51016e-05,0
269,8.63853e-05,0.00242092,0.00181327,1.4394e-05,0
270,8.14108e-05,0.0023964,0.00181579,1.37196e-05,0
271,7.67405e-05,0.00237182,0.00181818,1.30771e-05,0
272,9.17528e-05,0.00234722,0.00182046,1.24653e-05,0
273,0.000109596,0.00232383,0.00182263,1.19889e-05,0
274,0.000130622,0.00230183,0.00182471,1.16514e-05,0
275,0.000155388,0.00228141,0.00182673,1.14576e-05,0
276,0.000184578,0.0022628,0.00182872,1.14153e-05,0
277,0.00021899,0.00224626,0.0018307,1.15352e-05,0
278,0.000259579,0.00223212,0.0018327,1.18313e-05,0
279,0.000307451,0.00222075,0.00183475,1.23219e-05,0
280,0.000363903,0.00221258,0.00183689,1.30294e-05,0
281,0.000430495,0.00220814,0.00183916,1.39815e-05,0
282,0.000509049,0.00220803,0.0018416,1.52116e-05,0
283,0.000601711,0.00221297,0.00184427,1.67604e-05,0
284,0.000711009,0.00222382,0.00184722,1.86764e-05,0
285,0.000839923,0.00224158,0.00185052,2.10175e-05,0
286,0.00099196,0.00226743,0.00185426,2.38525e-05,0
287,0.00117125,0.00230277,0.00185854,2.72627e-05,0
288,0.00138263,0.00234924,0.00186347,3.13447e-05,0
289,0.00163178,0.00240878,0.0018692,3.62118e-05,0
290,0.00152561,0.00248365,0.0018759,4.19975e-05,0
291,0.00142667,0.00255134,0.00188379,4.66749e-05,0
292,0.00133415,0.00261229,0.00189267,5.03827e-05,0
293,0.00124762,0.00266691,0.00190233,5.3244e-05,0
294,0.00116671,0.00271561,0.00191262,5.5369e-05,0
295,0.00109105,0.00275874,0.00192337,5.6856e-05,0
296,0.00102029,0.00279667,0.00193445,5.7793e-05,0
297,0.000954123,0.00282972,0.00194574,5.82577e-05,0
298,0.000892249,0.00285821,0.00195713,5.83192e-05,0
299,0.00083439,0.00288244,0.00196854,5.80387e-05,0
300,0.000780286,0.00290268,0.00197989,5.74698e-05,0
301,0.000729693,0.0029192,0.0019911,5.66599e-05,0
302,0.000682384,0.00293226,0.00200214,5.56505e-05,0
303,0.000638146,0.00294208,0.00201296,5.4478e-05,0
304,0.000596781,0.00294889,0.00202351,5.31742e-05,0
305,0.000558102,0.0029529,0.00203378,5.17666e-05,0
306,0.000521936,0.0029543,0.00204375,5.02794e-05,0
307,0.00048812,0.00295328,0.00205339,4.87333e-05,0
308,0.000456502,0.00295002,0.0020627,4.71462e-05,0
309,0.000426941,0.00294468,0.00207168,4.55338e-05,0
310,0.000399304,0.00293741,0.00208031,4.39091e-05,0
311,0.000373457,0.00292837,0.00208859,4.22834e-05,0
312,0.00034929,0.00291767,0.00209654,4.06664e-05,0
313,0.000326696,0.00290546,0.00210416,3.9066e-05,0
314,0.000305571,0.00289186,0.00211144,3.74889e-05,0
315,0.000285822,0.00287696,0.00211841,3.59407e-05,0
316,0.000267359,0.00286089,0.00212506,3.44261e-05,0
317,0.0002501,0.00284374,0.0021314,3.29485e-05,0
318,0.000233968,0.00282561,0.00213745,3.1511e-05,0
319,0.00021889,0.00280657,0.00214321,3.01157e-05,0
320,0.0002048,0.00278671,0.0021487,2.87644e-05,0
321,0.000191659,0.00276611,0.00215393,2.74582e-05,0
322,0.000179391,0.00274485,0.0021589,2.61979e-05,0
323,0.00016792,0.00272298,0.00216362,2.4984e-05,0
324,0.000157209,0.00270057,0.00216811,2.38164e-05,0
325,0.000147214,0.00267768,0.00217238,2.26949e-05,0
326,0.000137892,0.00265436,0.00217644,2.1619e-05,0
327,0.000129204,0.00263067,0.00218029,2.05883e-05,0
328,0.000121116,0.00260665,0.00218395,1.9602e-05,0
329,0.000113594,0.00258235,0.00218743,1.86591e-05,0
330,0.000106611,0.00255781,0.00219073,1.77588e-05,0
331,0.000100141,0.00253308,0.00219386,1.69001e-05,0
332,9.4163e-05,0.00250818,0.00219683,1.60819e-05,0
333,8.86598e-05,0.00248317,0.00219966,1.53033e-05,0
334,8.36177e-05,0.00245806,0.00220234,1.45632e-05,0
335,7.89997e-05,0.0024329,0.00220489,1.38605e-05,0
336,7.48181e-05,0.00240772,0.00220731,1.31943e-05,0
337,8.94369e-05,0.00238254,0.00220961,1.25635e-05,0
338,0.000106766,0.00235856,0.00221179,1.20677e-05,0
339,0.000127145,0.00233594,0.00221389,1.17095e-05,0
340,0.000151119,0.00231487,0.00221592,1.14935e-05,0
341,0.000179329,0.00229556,0.00221791,1.14265e-05,0
342,0.000212531,0.00227827,0.00221989,1.15185e-05,0
343,0.000251613,0.00226331,0.00222189,1.17827e-05,0
344,0.000297625,0.00225103,0.00222394,1.22359e-05,0
345,0.000351797,0.00224185,0.00222606,1.28991e-05,0
346,0.000415581,0.00223625,0.00222831,1.37983e-05,0
347,0.000490423,0.00223482,0.00223072,1.4965e-05,0
348,0.000578515,0.00223823,0.00223334,1.64357e-05,0
349,0.000682207,0.00224727,0.00223623,1.82557e-05,0
350,0.000804268,0.00226287,0.00223945,2.04787e-05,0
351,0.000947943,0.00228616,0.00224309,2.31687e-05,0
352,0.00111705,0.00231843,0.00224724,2.64016e-05,0
353,0.00131605,0.00236121,0.002252,3.02666e-05,0
354,0.00155023,0.0024163,0.00225752,3.48692e-05,0
