"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,1.52087e-08,7.08018e-05,0.000295923,5.3887e-08,1
238,1.46926e-08,6.98967e-05,0.000295932,5.31664e-08,1
239,1.4194e-08,6.90032e-05,0.000295941,5.2456e-08,1
240,1.37123e-08,6.81211e-05,0.00029595,5.17558e-08,1
241,1.32469e-08,6.72502e-05,0.000295959,5.10654e-08,1
242,1.27973e-08,6.63904e-05,0.000295967,5.03849e-08,1
243,1.23629e-08,6.55416e-05,0.000295976,4.9714e-08,1
244,1.19433e-08,6.47037e-05,0.000295984,4.90525e-08,1
245,1.15379e-08,6.38764e-05,0.000295992,4.84003e-08,1
246,1.11463e-08,6.30597e-05,0.000296001,4.77574e-08,1
247,1.07679e-08,6.22534e-05,0.000296009,4.71234e-08,1
248,1.04024e-08,6.14574e-05,0.000296017,4.64983e-08,1
249,1.00492e-08,6.06716e-05,0.000296024,4.5882e-08,1
250,9.70807e-09,5.98958e-05,0.000296032,4.52742e-08,1
251,9.37849e-09,5.91299e-05,0.00029604,4.4675e-08,1
252,9.06009e-09,5.83738e-05,0.000296047,4.4084e-08,1
253,8.75249e-09,5.76273e-05,0.000296055,4.35013e-08,1
254,8.45532e-09,5.68904e-05,0.000296062,4.29267e-08,1
255,8.16824e-09,5.61629e-05,0.000296069,4.236e-08,1
256,7.8909e-09,5.54446e-05,0.000296076,4.18012e-08,1
257,7.62297e-09,5.47356e-05,0.000296083,4.12501e-08,1
258,7.36413e-09,5.40356e-05,0.00029609,4.07065e-08,1
259,7.11408e-09,5.33445e-05,0.000296097,4.01705e-08,1
260,6.87251e-09,5.26623e-05,0.000296104,3.96418e-08,1
261,6.63913e-09,5.19888e-05,0.00029611,3.91204e-08,1
262,6.41368e-09,5.13239e-05,0.000296117,3.86062e-08,1
263,6.19588e-09,5.06674e-05,0.000296123,3.80989e-08,1
264,5.98548e-09,5.00194e-05,0.00029613,3.75987e-08,1
265,5.78221e-09,4.93796e-05,0.000296136,3.71052e-08,1
266,5.58584e-09,4.87481e-05,0.000296142,3.66185e-08,1
267,5.39614e-09,4.81246e-05,0.000296149,3.61384e-08,1
268,5.21288e-09,4.7509e-05,0.000296155,3.56648e-08,1
269,5.03584e-09,4.69013e-05,0.000296161,3.51977e-08,1
270,4.8648e-09,4.63014e-05,0.000296167,3.47369e-08,1
271,4.69958e-09,4.57092e-05,0.000296172,3.42824e-08,1
272,4.53996e-09,4.51245e-05,0.000296178,3.3834e-08,1
273,4.38576e-09,4.45473e-05,0.000296184,3.33917e-08,1
274,4.2368e-09,4.39774e-05,0.000296189,3.29553e-08,1
275,4.09289e-09,4.34149e-05,0.000296195,3.25249e-08,1
276,3.95387e-09,4.28595e-05,0.0002962,3.21002e-08,1
277,3.81957e-09,4.23113e-05,0.000296206,3.16813e-08,1
278,3.68983e-09,4.177e-05,0.000296211,3.1268e-08,1
279,3.56449e-09,4.12357e-05,0.000296216,3.08602e-08,1
280,3.44341e-09,4.07082e-05,0.000296222,3.0458e-08,1
281,3.32644e-09,4.01874e-05,0.000296227,3.00611e-08,1
282,3.21344e-09,3.96733e-05,0.000296232,2.96695e-08,1
283,3.10428e-09,3.91658e-05,0.000296237,2.92832e-08,1
284,2.99883e-09,3.86647e-05,0.000296242,2.89021e-08,1
285,2.89695e-09,3.81701e-05,0.000296247,2.8526e-08,1
286,2.79854e-09,3.76818e-05,0.000296251,2.8155e-08,1
287,2.70347e-09,3.71997e-05,0.000296256,2.77889e-08,1
288,2.61162e-09,3.67238e-05,0.000296261,2.74277e-08,1
289,2.5229e-09,3.62539e-05,0.000296265,2.70713e-08,1
290,2.43719e-09,3.57901e-05,0.00029627,2.67197e-08,1
291,2.35438e-09,3.53322e-05,0.000296274,2.63727e-08,1
292,2.27439e-09,3.48802e-05,0.000296279,2.60304e-08,1
293,2.19712e-09,3.44339e-05,0.000296283,2.56926e-08,1
294,2.12247e-09,3.39934e-05,0.000296287,2.53592e-08,1
295,2.05036e-09,3.35585e-05,0.000296292,2.50303e-08,1
296,1.98069e-09,3.31291e-05,0.000296296,2.47058e-08,1
297,1.9134e-09,3.27052e-05,0.0002963,2.43855e-08,1
298,1.84838e-09,3.22868e-05,0.000296304,2.40695e-08,1
299,1.78558e-09,3.18737e-05,0.000296308,2.37576e-08,1
300,1.72491e-09,3.14659e-05,0.000296312,2.34499e-08,1
301,1.66629e-09,3.10633e-05,0.000296316,2.31462e-08,1
302,1.60967e-09,3.06658e-05,0.00029632,2.28466e-08,1
303,1.55498e-09,3.02735e-05,0.000296324,2.25509e-08,1
304,1.50214e-09,2.98861e-05,0.000296328,2.22591e-08,1
305,1.45109e-09,2.95037e-05,0.000296331,2.19711e-08,1
306,1.40178e-09,2.91262e-05,0.000296335,2.16869e-08,1
307,1.35415e-09,2.87536e-05,0.000296339,2.14065e-08,1
308,1.30813e-09,2.83856e-05,0.000296342,2.11298e-08,1
309,1.26367e-09,2.80224e-05,0.000296346,2.08566e-08,1
310,1.22073e-09,2.76639e-05,0.000296349,2.05871e-08,1
311,1.17924e-09,2.73099e-05,0.000296353,2.03211e-08,1
