"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000230956,0.000316771,0.000321697,1.00682e-05,0
238,0.000231145,0.000317828,0.000323436,1.01096e-05,0
239,0.000231326,0.000318837,0.000325183,1.01499e-05,0
240,0.000231515,0.000319799,0.000326937,1.0189e-05,0
241,0.000231467,0.000320719,0.000328698,1.02268e-05,0
242,0.000231446,0.000321578,0.000330465,1.02634e-05,0
243,0.000231464,0.000322382,0.000332239,1.02986e-05,0
244,0.000231534,0.000323139,0.000334019,1.03324e-05,0
245,0.00023167,0.000323854,0.000335806,1.03647e-05,0
246,0.000231784,0.000324538,0.000337598,1.03956e-05,0
247,0.000231882,0.00032519,0.000339395,1.04251e-05,0
248,0.000232052,0.00032581,0.000341198,1.04532e-05,0
249,0.000232315,0.000326407,0.000343006,1.04801e-05,0
250,0.000232695,0.000326991,0.000344818,1.05058e-05,0
251,0.000233219,0.000327573,0.000346635,1.05305e-05,0
252,0.000233924,0.000328165,0.000348457,1.05542e-05,0
253,0.000234853,0.000328784,0.000350283,1.05772e-05,0
254,0.000236059,0.000329447,0.000352112,1.05998e-05,0
255,0.000237606,0.000330178,0.000353946,1.06222e-05,0
256,0.000239574,0.000331001,0.000355784,1.06448e-05,0
257,0.000242059,0.000331948,0.000357626,1.0668e-05,0
258,0.000245182,0.000333059,0.000359472,1.06925e-05,0
259,0.000246848,0.00033438,0.000361322,1.07188e-05,0
260,0.000247423,0.000335768,0.000363177,1.07478e-05,0
261,0.000247975,0.000337122,0.000365037,1.07793e-05,0
262,0.000248513,0.000338442,0.000366903,1.08128e-05,0
263,0.000249039,0.000339728,0.000368775,1.08478e-05,0
264,0.000249554,0.000340981,0.000370653,1.08839e-05,0
265,0.000250062,0.000342203,0.000372537,1.09207e-05,0
266,0.000250538,0.000343396,0.000374428,1.0958e-05,0
267,0.000250984,0.000344557,0.000376326,1.09955e-05,0
268,0.000251416,0.000345686,0.00037823,1.10331e-05,0
269,0.000251837,0.000346784,0.000380141,1.10705e-05,0
270,0.000252246,0.000347852,0.000382059,1.11076e-05,0
271,0.000252644,0.00034889,0.000383983,1.11444e-05,0
272,0.000253077,0.0003499,0.000385914,1.11806e-05,0
273,0.000253411,0.000350886,0.000387852,1.12163e-05,0
274,0.000253802,0.000351841,0.000389795,1.12515e-05,0
275,0.00025426,0.000352772,0.000391746,1.1286e-05,0
276,0.000254661,0.000353687,0.000393702,1.13198e-05,0
277,0.000255116,0.000354581,0.000395664,1.13529e-05,0
278,0.000255675,0.00035546,0.000397632,1.13854e-05,0
279,0.000256358,0.000356335,0.000399606,1.14173e-05,0
280,0.000257193,0.000357217,0.000401586,1.14486e-05,0
281,0.000258208,0.000358119,0.000403571,1.14795e-05,0
282,0.00025944,0.000359056,0.000405562,1.15102e-05,0
283,0.000260928,0.000360045,0.000407558,1.15408e-05,0
284,0.00026272,0.000361105,0.00040956,1.15716e-05,0
285,0.000264877,0.00036226,0.000411567,1.1603e-05,0
286,0.000267466,0.000363536,0.00041358,1.16354e-05,0
287,0.000270568,0.000364965,0.000415599,1.16693e-05,0
