"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,2.19844e-05,0.000148524,7.70962e-05,8.2765e-06,0
2,1.99932e-05,0.000141322,7.8519e-05,7.73295e-06,0
3,2.01442e-05,0.000134387,7.98464e-05,7.2385e-06,0
4,2.02906e-05,0.000127893,8.10872e-05,6.78668e-06,0
5,2.04312e-05,0.000121813,8.22491e-05,6.37301e-06,0
6,2.05663e-05,0.000116121,8.33389e-05,5.99355e-06,0
7,2.06964e-05,0.000110792,8.43628e-05,5.64485e-06,0
8,2.08222e-05,0.000105803,8.53262e-05,5.3239e-06,0
9,2.09441e-05,0.000101133,8.6234e-05,5.02806e-06,0
10,2.10626e-05,9.67622e-05,8.70907e-05,4.75498e-06,0
11,2.12206e-05,9.26715e-05,8.79002e-05,4.50259e-06,0
12,2.15879e-05,8.88473e-05,8.86662e-05,4.26906e-06,0
13,2.20166e-05,8.52917e-05,8.9392e-05,4.05276e-06,0
14,2.25191e-05,8.19937e-05,9.00806e-05,3.85235e-06,0
15,2.31097e-05,7.8944e-05,9.07348e-05,3.66664e-06,0
16,2.38057e-05,7.61351e-05,9.13572e-05,3.49459e-06,0
17,2.46278e-05,7.35615e-05,9.195e-05,3.33526e-06,0
18,2.56017e-05,7.122e-05,9.25156e-05,3.18787e-06,0
19,2.67559e-05,6.91099e-05,9.3056e-05,3.05171e-06,0
20,2.81343e-05,6.72328e-05,9.3573e-05,2.9262e-06,0
21,2.97668e-05,6.55945e-05,9.40687e-05,2.81086e-06,0
22,3.16682e-05,6.42028e-05,9.45446e-05,2.70531e-06,0
23,3.38863e-05,6.30666e-05,9.50026e-05,2.60928e-06,0
24,3.65133e-05,6.21983e-05,9.54442e-05,2.52257e-06,0
25,3.96264e-05,6.16179e-05,9.5871e-05,2.4451e-06,0
26,4.3316e-05,6.13509e-05,9.62846e-05,2.37689e-06,0
27,4.76837e-05,6.14294e-05,9.66866e-05,2.3181e-06,0
28,5.28652e-05,6.18927e-05,9.70785e-05,2.26902e-06,0
29,5.57688e-05,6.27895e-05,9.74622e-05,2.2301e-06,0
30,5.6655e-05,6.38899e-05,9.78392e-05,2.20197e-06,0
31,5.74904e-05,6.50015e-05,9.82114e-05,2.18399e-06,0
32,5.8278e-05,6.6119e-05,9.85805e-05,2.17459e-06,0
33,5.9021e-05,6.72379e-05,9.89481e-05,2.17246e-06,0
34,5.97221e-05,6.8354e-05,9.93153e-05,2.17645e-06,0
35,6.03842e-05,6.94637e-05,9.96832e-05,2.18558e-06,0
36,6.10098e-05,7.05641e-05,0.000100053,2.199e-06,0
37,6.16013e-05,7.16523e-05,0.000100424,2.21598e-06,0
38,6.2161e-05,7.27262e-05,0.000100799,2.2359e-06,0
39,6.2691e-05,7.37838e-05,0.000101177,2.25822e-06,0
40,6.31933e-05,7.48234e-05,0.000101559,2.28247e-06,0
41,6.36698e-05,7.58436e-05,0.000101945,2.30826e-06,0
42,6.41224e-05,7.68434e-05,0.000102335,2.33524e-06,0
43,6.45528e-05,7.78219e-05,0.00010273,2.36312e-06,0
44,6.49625e-05,7.87785e-05,0.000103129,2.39165e-06,0
45,6.53547e-05,7.97125e-05,0.000103534,2.4206e-06,0
46,6.57339e-05,8.06239e-05,0.000103943,2.4498e-06,0
47,6.6095e-05,8.15129e-05,0.000104358,2.47909e-06,0
48,6.64421e-05,8.23793e-05,0.000104777,2.50834e-06,0
49,6.67789e-05,8.32232e-05,0.000105202,2.53744e-06,0
50,6.71073e-05,8.40451e-05,0.000105631,2.56629e-06,0
51,6.74296e-05,8.48455e-05,0.000106065,2.59483e-06,0
52,6.77483e-05,8.56253e-05,0.000106504,2.62298e-06,0
53,6.80658e-05,8.63855e-05,0.000106948,2.65071e-06,0
54,6.83852e-05,8.7127e-05,0.000107397,2.67798e-06,0
55,6.87324e-05,8.78513e-05,0.00010785,2.70477e-06,0
56,6.91288e-05,8.85619e-05,0.000108308,2.73106e-06,0
57,6.95806e-05,8.9264e-05,0.00010877,2.75686e-06,0
58,7.01025e-05,8.99631e-05,0.000109237,2.78221e-06,0
59,7.07124e-05,9.06656e-05,0.000109708,2.80715e-06,0
60,7.13403e-05,9.13792e-05,0.000110183,2.83178e-06,0
61,7.19851e-05,9.21047e-05,0.000110663,2.8562e-06,0
62,7.27427e-05,9.2843e-05,0.000111147,2.88051e-06,0
63,7.36408e-05,9.36033e-05,0.000111634,2.90478e-06,0
64,7.47133e-05,9.43968e-05,0.000112126,2.92914e-06,0
65,7.6002e-05,9.52371e-05,0.000112623,2.95374e-06,0
66,7.75577e-05,9.61404e-05,0.000113123,2.97879e-06,0
67,7.94433e-05,9.71267e-05,0.000113628,3.00455e-06,0
68,8.17356e-05,9.82204e-05,0.000114137,3.03133e-06,0
69,8.45293e-05,9.94511e-05,0.00011465,3.05952e-06,0
70,8.79406e-05,0.000100855,0.000115169,3.0896e-06,0
71,9.21123e-05,0.000102476,0.000115692,3.12218e-06,0
72,9.45615e-05,0.00010437,0.000116221,3.15799e-06,0
73,9.54582e-05,0.000106365,0.000116757,3.19791e-06,0
74,9.63357e-05,0.000108317,0.000117299,3.24182e-06,0
75,9.7195e-05,0.000110227,0.000117848,3.28887e-06,0
76,9.80376e-05,0.000112096,0.000118406,3.33835e-06,0
77,9.88643e-05,0.000113925,0.000118972,3.38964e-06,0
78,9.97237e-05,0.000115714,0.000119547,3.44227e-06,0
79,0.000100706,0.00011747,0.000120131,3.49581e-06,0
80,0.000101746,0.000119205,0.000120724,3.54995e-06,0
81,0.000102857,0.000120926,0.000121326,3.60448e-06,0
82,0.000104057,0.00012264,0.000121938,3.65928e-06,0
83,0.000105363,0.000124355,0.000122559,3.71425e-06,0
84,0.000106798,0.00012608,0.000123189,3.76938e-06,0
85,0.000108389,0.000127827,0.000123829,3.82469e-06,0
86,0.000110168,0.000129609,0.000124479,3.88028e-06,0
87,0.000112171,0.000131439,0.000125138,3.93627e-06,0
88,0.000114437,0.000133335,0.000125807,3.99285e-06,0
89,0.000117016,0.000135316,0.000126485,4.05026e-06,0
90,0.000119973,0.000137405,0.000127173,4.10882e-06,0
91,0.000123378,0.000139628,0.000127871,4.1689e-06,0
92,0.000127178,0.000142019,0.00012858,4.23096e-06,0
93,0.00013152,0.0001446,0.000129299,4.29554e-06,0
94,0.0001366,0.00014741,0.000130029,4.36323e-06,0
95,0.000139537,0.000150499,0.000130772,4.43472e-06,0
96,0.000140705,0.00015366,0.000131526,4.51085e-06,0
97,0.000141816,0.00015673,0.000132293,4.59125e-06,0
98,0.000142873,0.00015971,0.000133075,4.67478e-06,0
99,0.000143881,0.0001626,0.00013387,4.76047e-06,0
100,0.000144842,0.000165401,0.000134681,4.84753e-06,0
101,0.000145762,0.000168116,0.000135506,4.93526e-06,0
102,0.000146641,0.000170745,0.000136347,5.02312e-06,0
103,0.000147482,0.000173291,0.000137203,5.11065e-06,0
104,0.000148289,0.000175754,0.000138074,5.19746e-06,0
105,0.000149067,0.000178138,0.000138959,5.28324e-06,0
106,0.000149817,0.000180443,0.00013986,5.36774e-06,0
107,0.000150544,0.000182674,0.000140776,5.45076e-06,0
108,0.000151238,0.000184831,0.000141705,5.53214e-06,0
