"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,2.19844e-05,0.000148524,7.70962e-05,8.2765e-06,1
2,1.99932e-05,0.000141322,7.8519e-05,7.73295e-06,1
3,1.78671e-05,0.000134387,7.98464e-05,7.2385e-06,1
4,1.59737e-05,0.00012769,8.10872e-05,6.78668e-06,1
5,1.42869e-05,0.000121238,8.22491e-05,6.37196e-06,1
6,1.27838e-05,0.000115033,8.33388e-05,5.98969e-06,1
7,1.14442e-05,0.000109077,8.4362e-05,5.63598e-06,1
8,1.02501e-05,0.000103369,8.53238e-05,5.30758e-06,1
9,9.1854e-06,9.79059e-05,8.62288e-05,5.00174e-06,1
10,8.23593e-06,9.26854e-05,8.70809e-05,4.71615e-06,1
11,7.38691e-06,8.77022e-05,8.78837e-05,4.44884e-06,1
12,6.67795e-06,8.29507e-05,8.86405e-05,4.19814e-06,1
13,6.04151e-06,7.84291e-05,8.93541e-05,3.9626e-06,1
14,5.46993e-06,7.41297e-05,9.00272e-05,3.741e-06,1
15,4.95638e-06,7.00445e-05,9.06623e-05,3.53228e-06,1
16,4.49474e-06,6.61656e-05,9.12616e-05,3.33551e-06,1
17,4.07957e-06,6.24847e-05,9.18272e-05,3.14984e-06,1
18,3.70641e-06,5.89939e-05,9.23611e-05,2.97455e-06,1
19,3.37025e-06,5.56852e-05,9.2865e-05,2.80897e-06,1
20,3.0726e-06,5.25506e-05,9.33406e-05,2.6525e-06,1
21,2.80387e-06,4.95828e-05,9.37896e-05,2.5046e-06,1
22,2.56111e-06,4.67741e-05,9.42133e-05,2.36476e-06,1
23,2.34167e-06,4.41171e-05,9.46132e-05,2.23254e-06,1
24,2.1432e-06,4.16044e-05,9.49907e-05,2.10751e-06,1
25,1.96357e-06,3.92289e-05,9.53468e-05,1.98928e-06,1
26,1.80089e-06,3.69841e-05,9.56829e-05,1.87748e-06,1
27,1.65346e-06,3.48631e-05,9.6e-05,1.77176e-06,1
28,1.51975e-06,3.28599e-05,9.62991e-05,1.67181e-06,1
29,1.39841e-06,3.09684e-05,9.65813e-05,1.57732e-06,1
30,1.28821e-06,2.91827e-05,9.68475e-05,1.48799e-06,1
31,1.18805e-06,2.74973e-05,9.70985e-05,1.40357e-06,1
32,1.09694e-06,2.59069e-05,9.73352e-05,1.32379e-06,1
33,1.01401e-06,2.44066e-05,9.75584e-05,1.2484e-06,1
34,9.38447e-07,2.29914e-05,9.77689e-05,1.17719e-06,1
35,8.69552e-07,2.16568e-05,9.79673e-05,1.10992e-06,1
36,8.0668e-07,2.03983e-05,9.81544e-05,1.04639e-06,1
37,7.49255e-07,1.92119e-05,9.83307e-05,9.86406e-07,1
38,6.96757e-07,1.80936e-05,9.84969e-05,9.29773e-07,1
39,6.48722e-07,1.70395e-05,9.86535e-05,8.76315e-07,1
40,6.04728e-07,1.60462e-05,9.88011e-05,8.25862e-07,1
41,5.64399e-07,1.51103e-05,9.89401e-05,7.78252e-07,1
42,5.27393e-07,1.42285e-05,9.90712e-05,7.33332e-07,1
43,4.93404e-07,1.33978e-05,9.91946e-05,6.90957e-07,1
44,4.62078e-07,1.26153e-05,9.93109e-05,6.50987e-07,1
45,4.35437e-07,1.18782e-05,9.94205e-05,6.13292e-07,1
