"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
237,0.000224324,0.0021291,0.00193394,1.79183e-05,0
238,0.00021493,0.00208938,0.0019371,1.72776e-05,0
239,0.000205975,0.00204982,0.00194014,1.66602e-05,0
240,0.000197448,0.00201045,0.00194307,1.60655e-05,0
241,0.000189339,0.00197131,0.00194589,1.54927e-05,0
242,0.00018164,0.00193244,0.00194861,1.49414e-05,0
243,0.000174368,0.00189388,0.00195122,1.44111e-05,0
244,0.000167503,0.00185566,0.00195374,1.39012e-05,0
245,0.00016105,0.00181781,0.00195617,1.34115e-05,0
246,0.000196217,0.00178036,0.00195851,1.29416e-05,0
247,0.000238759,0.00174557,0.00196076,1.2691e-05,0
248,0.000290209,0.00171399,0.00196297,1.26701e-05,0
249,0.000352432,0.00168622,0.00196518,1.28956e-05,0
250,0.00042767,0.00166296,0.00196742,1.33913e-05,0
251,0.000518647,0.00164504,0.00196976,1.41892e-05,0
252,0.000628644,0.00163346,0.00197223,1.53308e-05,0
253,0.000761623,0.00162936,0.00197492,1.6869e-05,0
254,0.000922363,0.00163417,0.00197789,1.88693e-05,0
255,0.00111662,0.00164954,0.00198123,2.14129e-05,0
256,0.00135135,0.0016775,0.00198504,2.45995e-05,0
257,0.00163492,0.00172048,0.00198946,2.85503e-05,0
258,0.00197738,0.0017814,0.00199464,3.34125e-05,0
259,0.00239074,0.00186379,0.00200079,3.93643e-05,0
260,0.0022845,0.00197187,0.00200813,4.66198e-05,0
261,0.00218388,0.00207789,0.00201699,5.25023e-05,0
262,0.00208774,0.00218086,0.00202712,5.72012e-05,0
263,0.00199587,0.00227993,0.00203828,6.08788e-05,0
264,0.0019081,0.00237443,0.00205026,6.36785e-05,0
265,0.00182425,0.00246387,0.00206287,6.57259e-05,0
266,0.00174414,0.00254788,0.00207596,6.71309e-05,0
267,0.00166763,0.00262618,0.00208937,6.79895e-05,0
268,0.00159457,0.00269862,0.00210298,6.83852e-05,0
269,0.00152481,0.00276511,0.00211668,6.83907e-05,0
270,0.00145822,0.00282563,0.00213038,6.8069e-05,0
271,0.00139467,0.00288024,0.00214401,6.74749e-05,0
272,0.00133404,0.00292901,0.0021575,6.66555e-05,0
273,0.00127622,0.00297206,0.0021708,6.56517e-05,0
274,0.00122109,0.00300957,0.00218387,6.44986e-05,0
275,0.00116841,0.00304169,0.00219668,6.32267e-05,0
276,0.00111821,0.00306863,0.00220919,6.18612e-05,0
277,0.00107038,0.00309059,0.00222139,6.04247e-05,0
278,0.00102484,0.0031078,0.00223327,5.89362e-05,0
279,0.000980581,0.00312048,0.00224482,5.74122e-05,0
280,0.00093821,0.00312882,0.00225602,5.58622e-05,0
281,0.00089765,0.00313304,0.00226688,5.42976e-05,0
282,0.000858825,0.00313335,0.0022774,5.27279e-05,0
283,0.000821663,0.00312997,0.00228757,5.11612e-05,0
284,0.000786093,0.00312312,0.00229741,4.96045e-05,0
285,0.000752048,0.003113,0.00230691,4.80632e-05,0
286,0.000719465,0.00309983,0.00231607,4.65422e-05,0
287,0.000688281,0.00308379,0.00232492,4.50453e-05,0
288,0.000658438,0.00306509,0.00233345,4.35756e-05,0
289,0.00062988,0.00304392,0.00234166,4.21357e-05,0
290,0.000602545,0.00302045,0.00234958,4.07275e-05,0
291,0.000576385,0.00299485,0.00235721,3.93526e-05,0
292,0.00055135,0.0029673,0.00236455,3.8012e-05,0
