"Time","Infected","Quarantined","Deceased","Hospitalized","Output"
1,0.000356462,0.00136408,0.000301477,2.21572e-05,0
2,0.000342729,0.00136087,0.000305431,2.15179e-05,0
3,0.000329495,0.00135638,0.000309265,2.08874e-05,0
4,0.000316791,0.00135068,0.000312981,2.02668e-05,0
5,0.000304599,0.00134386,0.00031658,1.96573e-05,0
6,0.000292899,0.00133599,0.000320065,1.90598e-05,0
7,0.000281677,0.00132715,0.000323439,1.8475e-05,0
8,0.000270915,0.0013174,0.000326705,1.79036e-05,0
9,0.000260599,0.00130682,0.000329864,1.7346e-05,0
10,0.000250715,0.00129546,0.000332921,1.68025e-05,0
11,0.000241249,0.0012834,0.000335877,1.62734e-05,0
12,0.000232191,0.00127069,0.000338736,1.57589e-05,0
13,0.000223528,0.00125739,0.000341501,1.5259e-05,0
14,0.000215256,0.00124356,0.000344175,1.47739e-05,0
15,0.000207362,0.00122925,0.00034676,1.43036e-05,0
16,0.000199839,0.0012145,0.00034926,1.3848e-05,0
17,0.000245904,0.00119938,0.000351677,1.34071e-05,0
18,0.000304409,0.00118681,0.000354015,1.3239e-05,0
19,0.000376176,0.00117766,0.000356322,1.33722e-05,0
20,0.000464249,0.00117285,0.000358653,1.38361e-05,0
21,0.000572278,0.00117344,0.000361068,1.46715e-05,0
22,0.000704598,0.00118071,0.000363635,1.59322e-05,0
23,0.000866605,0.00119619,0.000366431,1.76869e-05,0
24,0.00106496,0.00122171,0.000369551,2.00222e-05,0
25,0.00130771,0.00125951,0.000373104,2.30471e-05,0
26,0.00160463,0.00131227,0.000377228,2.68966e-05,0
27,0.00196776,0.00138328,0.000382088,3.17367e-05,0
28,0.0024115,0.00147652,0.000387897,3.77717e-05,0
29,0.00231948,0.00159684,0.000394918,4.52507e-05,0
30,0.00222848,0.00171569,0.000403489,5.14019e-05,0
31,0.00214029,0.00183186,0.000413374,5.63864e-05,0
32,0.00205557,0.00194441,0.000424352,6.03563e-05,0
33,0.00197417,0.00205263,0.000436215,6.34497e-05,0
34,0.00189596,0.00215599,0.00044878,6.57882e-05,0
35,0.00182083,0.00225404,0.00046188,6.74785e-05,0
36,0.00174866,0.00234649,0.000475371,6.86138e-05,0
37,0.00167932,0.00243312,0.000489126,6.92756e-05,0
38,0.00161271,0.00251381,0.000503035,6.9535e-05,0
39,0.00154873,0.0025885,0.000517005,6.94537e-05,0
40,0.00148727,0.00265718,0.000530956,6.90855e-05,0
41,0.00142824,0.0027199,0.000544821,6.84769e-05,0
42,0.00137154,0.00277675,0.000558544,6.76683e-05,0
43,0.00131708,0.00282785,0.000572079,6.66944e-05,0
44,0.00126478,0.00287334,0.000585388,6.55856e-05,0
45,0.00121457,0.0029134,0.000598442,6.43676e-05,0
46,0.00116635,0.00294819,0.000611216,6.3063e-05,0
47,0.00112005,0.00297792,0.000623693,6.1691e-05,0
48,0.0010756,0.00300279,0.000635858,6.02681e-05,0
49,0.00103293,0.003023,0.000647701,5.88085e-05,0
50,0.000991976,0.00303878,0.000659218,5.73242e-05,0
51,0.000952677,0.00305033,0.000670403,5.58257e-05,0
52,0.000914972,0.00305786,0.000681256,5.43217e-05,0
53,0.000878807,0.0030616,0.000691779,5.28196e-05,0
54,0.000844129,0.00306176,0.000701973,5.13259e-05,0
55,0.000810891,0.00305852,0.000711842,4.98459e-05,0
56,0.000779046,0.00305211,0.000721392,4.83841e-05,0
57,0.000748403,0.00304272,0.000730628,4.69442e-05,0
58,0.000719044,0.00303054,0.000739557,4.55287e-05,0
59,0.000690937,0.00301574,0.000748187,4.41402e-05,0
60,0.000663684,0.00299851,0.000756525,4.27808e-05,0
61,0.000637491,0.00297901,0.000764578,4.14505e-05,0
62,0.000612319,0.00295739,0.000772355,4.01504e-05,0
63,0.000588129,0.00293382,0.000779863,3.88813e-05,0
64,0.000564884,0.00290844,0.00078711,3.76436e-05,0
65,0.000542549,0.00288139,0.000794105,3.64377e-05,0
66,0.00052109,0.0028528,0.000800854,3.52637e-05,0
67,0.000500474,0.00282282,0.000807367,3.41217e-05,0
68,0.000480671,0.00279156,0.000813651,3.30115e-05,0
69,0.000461649,0.00275913,0.000819712,3.19329e-05,0
70,0.000443381,0.00272566,0.000825559,3.08855e-05,0
71,0.00042584,0.00269125,0.0008312,2.98691e-05,0
72,0.000408966,0.00265599,0.00083664,2.8883e-05,0
73,0.000392754,0.00261999,0.000841887,2.79268e-05,0
74,0.000377178,0.00258333,0.000846948,2.69998e-05,0
75,0.000362239,0.00254611,0.000851828,2.61014e-05,0
76,0.000347901,0.00250839,0.000856536,2.52311e-05,0
77,0.000334142,0.00247026,0.000861076,2.43883e-05,0
78,0.000320945,0.00243179,0.000865455,2.35724e-05,0
79,0.000308291,0.00239305,0.000869678,2.27828e-05,0
80,0.000296164,0.0023541,0.000873751,2.20189e-05,0
81,0.00028455,0.00231501,0.000877679,2.128e-05,0
82,0.000273436,0.00227583,0.000881469,2.05657e-05,0
83,0.00026281,0.00223662,0.000885124,1.98754e-05,0
84,0.000252666,0.00219743,0.00088865,1.92084e-05,0
85,0.000242996,0.0021583,0.000892051,1.85645e-05,0
86,0.000233799,0.00211929,0.000895333,1.7943e-05,0
87,0.000225076,0.00208043,0.0008985,1.73436e-05,0
88,0.000216506,0.00204178,0.000901556,1.6766e-05,0
89,0.000208268,0.00200335,0.000904506,1.62084e-05,0
90,0.00020035,0.00196518,0.000907353,1.56699e-05,0
91,0.000192749,0.00192729,0.000910102,1.515e-05,0
92,0.000185446,0.00188971,0.000912756,1.46479e-05,0
93,0.000178432,0.00185246,0.000915318,1.41631e-05,0
94,0.000171697,0.00181557,0.000917792,1.36949e-05,0
95,0.000210604,0.00177905,0.000920182,1.32427e-05,0
96,0.000258106,0.00174539,0.00092249,1.30261e-05,0
97,0.000315938,0.0017152,0.000924758,1.30595e-05,0
98,0.000386321,0.00168918,0.000927033,1.3364e-05,0
99,0.000472059,0.00166813,0.000929363,1.39693e-05,0
100,0.000576499,0.00165303,0.000931802,1.49151e-05,0
101,0.000703674,0.00164505,0.000934413,1.6253e-05,0
102,0.000858558,0.00164558,0.000937268,1.80479e-05,0
103,0.00104717,0.00165629,0.000940455,2.03816e-05,0
104,0.00127681,0.00167923,0.000944075,2.3355e-05,0
105,0.00155636,0.00171686,0.000948257,2.70927e-05,0
106,0.0018966,0.00177217,0.000953156,3.17475e-05,0
107,0.00231058,0.00184881,0.000958966,3.75055e-05,0
108,0.0022145,0.00195117,0.000965933,4.45934e-05,0
109,0.00212261,0.00205205,0.000974366,5.03782e-05,0
110,0.00203451,0.00215041,0.00098403,5.50337e-05,0
111,0.00195005,0.00224541,0.000994709,5.87124e-05,0
112,0.00186908,0.0023364,0.0010062,6.15491e-05,0
113,0.00179146,0.00242284,0.00101834,6.36618e-05,0
114,0.00171706,0.00250434,0.00103095,6.51542e-05,0
115,0.00164572,0.00258062,0.0010439,6.61169e-05,0
116,0.00157734,0.00265149,0.00105708,6.66288e-05,0
117,0.00151179,0.00271684,0.00107037,6.67587e-05,0
118,0.00144895,0.00277661,0.0010837,6.65664e-05,0
119,0.00138873,0.00283081,0.00109698,6.61036e-05,0
120,0.001331,0.00287951,0.00111015,6.54154e-05,0
121,0.00127567,0.00292278,0.00112317,6.45406e-05,0
122,0.00122265,0.00296076,0.00113598,6.35128e-05,0
123,0.00117186,0.00299358,0.00114856,6.23608e-05,0
124,0.00112319,0.00302142,0.00116088,6.11098e-05,0
125,0.00107657,0.00304445,0.00117291,5.97812e-05,0
126,0.0010319,0.00306287,0.00118464,5.83933e-05,0
127,0.000989118,0.00307686,0.00119607,5.6962e-05,0
128,0.000948138,0.00308665,0.00120717,5.55006e-05,0
129,0.000908747,0.00309242,0.00121795,5.40207e-05,0
130,0.000870993,0.00309439,0.00122841,5.25314e-05,0
131,0.00083481,0.00309275,0.00123854,5.10407e-05,0
132,0.000800136,0.00308771,0.00124835,4.95557e-05,0
133,0.000766913,0.00307947,0.00125784,4.80822e-05,0
134,0.000735083,0.00306822,0.00126701,4.6625e-05,0
135,0.000704591,0.00305416,0.00127587,4.51882e-05,0
136,0.000675387,0.00303746,0.00128443,4.3775e-05,0
137,0.000647439,0.00301831,0.00129269,4.23882e-05,0
138,0.00062069,0.00299688,0.00130066,4.10301e-05,0
139,0.000595094,0.00297335,0.00130835,3.97025e-05,0
140,0.00057061,0.00294787,0.00131577,3.84067e-05,0
141,0.000547201,0.0029206,0.00132292,3.71437e-05,0
142,0.000524829,0.00289169,0.00132981,3.59144e-05,0
143,0.000503461,0.00286128,0.00133645,3.47192e-05,0
