date,state,fips,deaths,cases
2020-03-05,Nevada,32,0,2
2020-03-06,Nevada,32,0,2
2020-03-07,Nevada,32,0,2
2020-03-08,Nevada,32,0,4
2020-03-09,Nevada,32,0,4
2020-03-10,Nevada,32,0,4
2020-03-11,Nevada,32,0,7
2020-03-12,Nevada,32,0,11
2020-03-13,Nevada,32,0,19
2020-03-14,Nevada,32,0,21
2020-03-15,Nevada,32,0,26
2020-03-16,Nevada,32,1,45
2020-03-17,Nevada,32,1,55
2020-03-18,Nevada,32,1,82
2020-03-19,Nevada,32,1,99
2020-03-20,Nevada,32,2,165
2020-03-21,Nevada,32,2,165
2020-03-22,Nevada,32,2,190
2020-03-23,Nevada,32,4,265
2020-03-24,Nevada,32,6,315
2020-03-25,Nevada,32,10,405
2020-03-26,Nevada,32,10,535
2020-03-27,Nevada,32,10,621
2020-03-28,Nevada,32,14,738
2020-03-29,Nevada,32,15,920
2020-03-30,Nevada,32,18,1044
2020-03-31,Nevada,32,26,1113
2020-04-01,Nevada,32,32,1279
2020-04-02,Nevada,32,38,1458
2020-04-03,Nevada,32,43,1549
2020-04-04,Nevada,32,46,1758
2020-04-05,Nevada,32,46,1880
2020-04-06,Nevada,32,58,1971
2020-04-07,Nevada,32,60,2101
2020-04-08,Nevada,32,80,2318
2020-04-09,Nevada,32,82,2456
2020-04-10,Nevada,32,86,2606
2020-04-11,Nevada,32,111,2720
2020-04-12,Nevada,32,113,2860
2020-04-13,Nevada,32,114,3036
2020-04-14,Nevada,32,130,3137
2020-04-15,Nevada,32,137,3212
2020-04-16,Nevada,32,142,3321
2020-04-17,Nevada,32,151,3524
2020-04-18,Nevada,32,155,3626
2020-04-19,Nevada,32,158,3710
2020-04-20,Nevada,32,163,3830
2020-04-21,Nevada,32,163,3937
2020-04-22,Nevada,32,187,4081
2020-04-23,Nevada,32,195,4208
2020-04-24,Nevada,32,203,4398
2020-04-25,Nevada,32,206,4539
2020-04-26,Nevada,32,206,4638
2020-04-27,Nevada,32,219,4708
2020-04-28,Nevada,32,225,4812
2020-04-29,Nevada,32,237,4934
2020-04-30,Nevada,32,243,5053
2020-05-01,Nevada,32,254,5249
2020-05-02,Nevada,32,257,5390
2020-05-03,Nevada,32,262,5473
2020-05-04,Nevada,32,266,5627
2020-05-05,Nevada,32,276,5665
2020-05-06,Nevada,32,286,5744
2020-05-07,Nevada,32,293,5858
2020-05-08,Nevada,32,301,5942
2020-05-09,Nevada,32,306,6046
2020-05-10,Nevada,32,306,6120
2020-05-11,Nevada,32,312,6152
2020-05-12,Nevada,32,321,6311
2020-05-13,Nevada,32,331,6482
2020-05-14,Nevada,32,339,6604
2020-05-15,Nevada,32,345,6733
2020-05-16,Nevada,32,349,6810
2020-05-17,Nevada,32,350,6935
2020-05-18,Nevada,32,364,7059
2020-05-19,Nevada,32,373,7169
2020-05-20,Nevada,32,378,7301
2020-05-21,Nevada,32,381,7404
2020-05-22,Nevada,32,387,7531
2020-05-23,Nevada,32,392,7769
2020-05-24,Nevada,32,394,7886
2020-05-25,Nevada,32,396,7959
2020-05-26,Nevada,32,396,8059
2020-05-27,Nevada,32,402,8150
2020-05-28,Nevada,32,410,8247
2020-05-29,Nevada,32,415,8375
2020-05-30,Nevada,32,417,8519
2020-05-31,Nevada,32,419,8628
2020-06-01,Nevada,32,420,8701
2020-06-02,Nevada,32,420,8858
2020-06-03,Nevada,32,429,8950
2020-06-04,Nevada,32,429,9118
2020-06-05,Nevada,32,436,9306
2020-06-06,Nevada,32,437,9494
2020-06-07,Nevada,32,438,9673
2020-06-08,Nevada,32,442,9815
2020-06-09,Nevada,32,445,10046
2020-06-10,Nevada,32,449,10216
2020-06-11,Nevada,32,460,10464
2020-06-12,Nevada,32,462,10704
2020-06-13,Nevada,32,463,10992
