date,state,fips,deaths,cases
2020-02-25,Utah,49,0,1
2020-02-26,Utah,49,0,1
2020-02-27,Utah,49,0,1
2020-02-28,Utah,49,0,1
2020-02-29,Utah,49,0,1
2020-03-01,Utah,49,0,1
2020-03-02,Utah,49,0,1
2020-03-03,Utah,49,0,1
2020-03-04,Utah,49,0,1
2020-03-05,Utah,49,0,1
2020-03-06,Utah,49,0,3
2020-03-07,Utah,49,0,3
2020-03-08,Utah,49,0,3
2020-03-09,Utah,49,0,3
2020-03-10,Utah,49,0,4
2020-03-11,Utah,49,0,5
2020-03-12,Utah,49,0,7
2020-03-13,Utah,49,0,7
2020-03-14,Utah,49,0,21
2020-03-15,Utah,49,0,29
2020-03-16,Utah,49,0,40
2020-03-17,Utah,49,0,51
2020-03-18,Utah,49,0,65
2020-03-19,Utah,49,0,80
2020-03-20,Utah,49,0,112
2020-03-21,Utah,49,0,138
2020-03-22,Utah,49,1,182
2020-03-23,Utah,49,1,257
2020-03-24,Utah,49,1,299
2020-03-25,Utah,49,1,346
2020-03-26,Utah,49,1,402
2020-03-27,Utah,49,2,480
2020-03-28,Utah,49,2,608
2020-03-29,Utah,49,2,719
2020-03-30,Utah,49,4,806
2020-03-31,Utah,49,5,887
2020-04-01,Utah,49,7,1012
2020-04-02,Utah,49,7,1077
2020-04-03,Utah,49,7,1248
2020-04-04,Utah,49,8,1426
2020-04-05,Utah,49,8,1618
2020-04-06,Utah,49,13,1662
2020-04-07,Utah,49,13,1737
2020-04-08,Utah,49,13,1860
2020-04-09,Utah,49,13,1980
2020-04-10,Utah,49,17,2103
2020-04-11,Utah,49,18,2208
2020-04-12,Utah,49,18,2305
2020-04-13,Utah,49,18,2368
2020-04-14,Utah,49,19,2420
2020-04-15,Utah,49,20,2549
2020-04-16,Utah,49,21,2687
2020-04-17,Utah,49,23,2813
2020-04-18,Utah,49,25,2942
2020-04-19,Utah,49,27,3071
2020-04-20,Utah,49,28,3213
2020-04-21,Utah,49,32,3301
2020-04-22,Utah,49,34,3451
2020-04-23,Utah,49,35,3621
2020-04-24,Utah,49,39,3782
2020-04-25,Utah,49,41,3950
2020-04-26,Utah,49,41,4123
2020-04-27,Utah,49,41,4236
2020-04-28,Utah,49,45,4343
2020-04-29,Utah,49,45,4499
2020-04-30,Utah,49,46,4672
2020-05-01,Utah,49,46,4829
2020-05-02,Utah,49,49,4981
2020-05-03,Utah,49,50,5175
2020-05-04,Utah,49,50,5326
2020-05-05,Utah,49,56,5449
2020-05-06,Utah,49,59,5605
2020-05-07,Utah,49,61,5724
2020-05-08,Utah,49,61,5919
2020-05-09,Utah,49,66,6103
2020-05-10,Utah,49,67,6251
2020-05-11,Utah,49,68,6364
2020-05-12,Utah,49,73,6454
2020-05-13,Utah,49,76,6624
2020-05-14,Utah,49,76,6760
2020-05-15,Utah,49,77,6930
2020-05-16,Utah,49,78,7068
2020-05-17,Utah,49,80,7238
2020-05-18,Utah,49,80,7384
2020-05-19,Utah,49,88,7530
2020-05-20,Utah,49,90,7717
2020-05-21,Utah,49,92,7876
2020-05-22,Utah,49,93,8057
2020-05-23,Utah,49,97,8260
2020-05-24,Utah,49,97,8392
2020-05-25,Utah,49,98,8521
2020-05-26,Utah,49,101,8622
2020-05-27,Utah,49,105,8710
2020-05-28,Utah,49,106,8953
2020-05-29,Utah,49,107,9282
2020-05-30,Utah,49,112,9551
2020-05-31,Utah,49,113,9829
2020-06-01,Utah,49,113,10026
2020-06-02,Utah,49,113,10237
2020-06-03,Utah,49,117,10558
2020-06-04,Utah,49,117,10858
2020-06-05,Utah,49,120,11344
2020-06-06,Utah,49,121,11866
2020-06-07,Utah,49,121,12084
2020-06-08,Utah,49,124,12378
2020-06-09,Utah,49,127,12639
2020-06-10,Utah,49,128,12982
